Change,Excluded,Original,en,it,
,,Goblin Witch Doctor,Goblin Witch Doctor,Stregone Goblin,
,,Goblin Elite Guard,Goblin Elite Guard,Guardia d'élite goblin,
,,Goblin Master Sniper,Goblin Master Sniper,Goblin Maestro Cecchino,
,,Goblin Pyromancer,Goblin Pyromancer,Goblin Piromante,
,,Goblin War Chief,Goblin War Chief,Capo della Guerra Goblin,
,,Goblin Shadow Sorcerer,Goblin Shadow Sorcerer,Stregone Ombra Goblin,
,,Goblin King,Goblin King,Re dei Goblin,
,,Young Ogre,Young Ogre,Giovane Orco,
,,Ogre Brute,Ogre Brute,Orco Bruto,
,,Ogre Mystic,Ogre Mystic,Orco Mistico,
,,Ogre Bruiser,Ogre Bruiser,Ogre Bruiser,
,,Ogre Fire Shaman,Ogre Fire Shaman,Sciamano del fuoco dell'orco,
,,Ogre Crusher,Ogre Crusher,Ogre Crusher,
,,Ogre Elemental Adept,Ogre Elemental Adept,Adepto Elementale Ogre,
,,Ogre Warlord,Ogre Warlord,Signore della guerra degli orchi,
,,Ogre Archmage,Ogre Archmage,Arcimago Ogre,
,,Ogre Champion,Ogre Champion,Campione Orco,
,,Ogre Warlock King,Ogre Warlock King,Re Stregone Orco,
,,Tiamat, Mother of Chaos,Tiamat, Mother of Chaos
,,Kur, Dragon of the Underworld,Kur, Dragon of the Underworld
,,Abzu, Primal Ocean Dragon,Abzu, Primal Ocean Dragon
,,Enlil, Storm Dragon King,Enlil, Storm Dragon King
,,Enki, Dragon of Wisdom,Enki, Dragon of Wisdom
,,Nergal, Dragon of Death,Nergal, Dragon of Death
,,Anshar, Celestial Dragon,Anshar, Celestial Dragon
,,Usumgallu, Supreme Dragon God,Usumgallu, Supreme Dragon God
,,Decaying Corpse,Decaying Corpse,Cadavere in decomposizione,
,,Rotting Skeleton,Rotting Skeleton,Scheletro in putrefazione,
,,Ghost Wisp,Ghost Wisp,Wisp fantasma,
,,Graveyard Shambler,Graveyard Shambler,Graveyard Shambler,
,,Bone Warrior,Bone Warrior,Guerriero d'ossa,
,,Minor Shade,Minor Shade,Tonalità minore,
,,Plague Carrier,Plague Carrier,Portatore di peste,
,,Ancient Skeleton,Ancient Skeleton,Scheletro antico,
,,Apprentice's Remains,Apprentice's Remains,Resti dell'apprendista,
,,Fallen Warrior,Fallen Warrior,Guerriero caduto,
,,Undead Archer,Undead Archer,Arciere non morto,
,,Lingering Spirit,Lingering Spirit,Spirito persistente,
,,Festering Corpse,Festering Corpse,Cadavere in putrefazione,
,,Forgotten Acolyte,Forgotten Acolyte,Accolito dimenticato,
,,Armored Remains,Armored Remains,Resti corazzati,
,,Graveyard Haunt,Graveyard Haunt,Cimitero infestato,
,,Reanimated Guard,Reanimated Guard,Guardia rianimata,
,,Boneyard Hunter,Boneyard Hunter,Cacciatore di cimiteri,
,,Abandoned Novice,Abandoned Novice,Novizio abbandonato,
,,Tomb Guardian,Tomb Guardian,Guardiano della Tomba,
,,Elven Scout,Elven Scout,Esploratore elfico,
,,Elven Swordmaster,Elven Swordmaster,Maestro di spada elfico,
,,Elven Frost Mage,Elven Frost Mage,Mago del gelo elfico,
,,Elven Sharpshooter,Elven Sharpshooter,Tiratore scelto elfico,
,,Elven Bladesinger,Elven Bladesinger,Cantore di Lame Elfico,
,,Elven Flame Weaver,Elven Flame Weaver,Tessitore di fiamme elfico,
,,Elven Mystic,Elven Mystic,Mistico elfico,
,,Elven Ranger Captain,Elven Ranger Captain,Capitano dei Ranger Elfici,
,,Elven Geomancer,Elven Geomancer,Geomante elfico,
,,Elven Royal Guard,Elven Royal Guard,Guardia Reale Elfica,
,,Elven High Mage,Elven High Mage,Alto mago elfico,
,,Bandit Grunt,Bandit Grunt,Bandito Grunt,
,,Bandit Archer,Bandit Archer,Bandito Arciere,
,,Bandit Rogue,Bandit Rogue,Bandito ladro,
,,Bandit Mage,Bandit Mage,Mago bandito,
,,Bandit Assassin,Bandit Assassin,Bandito Assassino,
,,Bandit Bard,Bandit Bard,Bandito Bardo,
,,Bandit Pyromancer,Bandit Pyromancer,Bandito Piromante,
,,Bandit Scout,Bandit Scout,Bandito Scout,
,,Bandit Crossbowman,Bandit Crossbowman,Balestriere bandito,
,,Bandit Chief,Bandit Chief,Capo Bandito,
,,Bandit Cleric,Bandit Cleric,Chierico bandito,
,,The Surgeon,The Surgeon,Il chirurgo,
,,The Viper,The Viper,La Vipera,
,,The Puppeteer,The Puppeteer,Il burattinaio,
,,The Cremator,The Cremator,Il Crematore,
,,The Scarlet Judge,The Scarlet Judge,Il giudice scarlatto,
,,The Phantom,The Phantom,Il Fantasma,
,,The Frozen Lady,The Frozen Lady,La signora congelata,
,,The Dreamweaver,The Dreamweaver,Il Tessitore di Sogni,
,,The Taxidermist,The Taxidermist,Il tassidermista,
,,The Blood Countess,The Blood Countess,La contessa sanguinaria,
,,Acid Bombardier,Acid Bombardier,Bombardiere acido,
,,Engorged Tick Swarm,Engorged Tick Swarm,Sciame di zecche ingorgate,
,,Assassin Wasp,Assassin Wasp,Vespa assassina,
,,Hivemind Termite,Hivemind Termite,Termite della mente alveare,
,,Aquatic Mantis,Aquatic Mantis,Mantide acquatica,
,,Blood Widow,Blood Widow,Vedova di sangue,
,,Frost Scarab,Frost Scarab,Scarabeo del gelo,
,,Magma Centipede,Magma Centipede,Millepiedi di magma,
,,Mind Flayer Moth,Mind Flayer Moth,Falena Mind Flayer,
,,Luminous Locust King,Luminous Locust King,Re delle Locuste Luminose,
,,Field Mouse,Field Mouse,Topo di campagna,
,,Garden Frog,Garden Frog,Rana da giardino,
,,Curious Rabbit,Curious Rabbit,Coniglio curioso,
,,Lazy Cat,Lazy Cat,Gatto pigro,
,,Tiny Chick,Tiny Chick,Piccolo pulcino,
,,Buzzing Bumblebee,Buzzing Bumblebee,Bombo ronzante,
,,Slow Turtle,Slow Turtle,Tartaruga lenta,
,,Ladybug,Ladybug,Coccinella,
,,Squirrel,Squirrel,Scoiattolo,
,,Earthworm,Earthworm,Lombrico,
,,Quacking Duck,Quacking Duck,Anatra che fa qua qua,
,,Mole,Mole,Talpa,
,,Blue Jay,Blue Jay,Ghiandaia azzurra,
,,Skunk,Skunk,Puzzola,
,,Grasshopper,Grasshopper,Cavalletta,
,,Trickster Imp,Trickster Imp,Folletto immortale,
,,Frost Succubus,Frost Succubus,Succubo del gelo,
,,Ember Fiend,Ember Fiend,Ember Fiend,
,,Mind Leech,Mind Leech,Sanguisuga mentale,
,,Blood Mimic,Blood Mimic,Imitatore del sangue,
,,Venom Devil,Venom Devil,Diavolo velenoso,
,,Soul Merchant,Soul Merchant,Mercante di anime,
,,Mirror Fiend,Mirror Fiend,Demone dello Specchio,
,,Frost Deciever,Frost Deciever,Ingannatore del gelo,
,,Gravel Imp,Gravel Imp,Ghiaia Imp,
,,Discord Demon,Discord Demon,Demone della Discordia,
,,Radiant Defender,Radiant Defender,Difensore Radiante,
,,Royal Justicar,Royal Justicar,Giustiziere reale,
,,Frost Knight,Frost Knight,Cavaliere del gelo,
,,Molten Guardian,Molten Guardian,Guardiano Fuso,
,,Tidal Warden,Tidal Warden,Guardiano delle maree,
,,Stone Bulwark,Stone Bulwark,Baluardo di pietra,
,,Celestial Protector,Celestial Protector,Protettore Celeste,
,,Mind Shield,Mind Shield,Scudo mentale,
,,Dusk Commander,Dusk Commander,Comandante del crepuscolo,
,,Tide Crab,Tide Crab,Granchio di marea,
,,Coral Guardian,Coral Guardian,Guardiano del corallo,
,,Trident Hunter,Trident Hunter,Cacciatore di tridenti,
,,Deep Frost Eel,Deep Frost Eel,Anguilla del gelo profondo,
,,Luminous Angler,Luminous Angler,Pescatore luminoso,
,,Volcanic Leviathan,Volcanic Leviathan,Leviatano vulcanico,
,,Sacred Kraken,Sacred Kraken,Kraken Sacro,
,,Deep One Monarch,Deep One Monarch,Monarca del Profondo,
,,Bubble Squid,Bubble Squid,Calamaro a bolle,
,,Toxic Anemone,Toxic Anemone,Anemone tossico,
,,Drowned Revenant,Drowned Revenant,Revenant annegato,
,,Nightmare Jellyfish,Nightmare Jellyfish,Medusa da incubo,
,,Mischievous Sprite,Mischievous Sprite,Spirito dispettoso,
,,Flower Pixie,Flower Pixie,Fiore Pixie,
,,Glimmer Wisp,Glimmer Wisp,Glimmer Wisp,
,,Frost Sylph,Frost Sylph,Silfide del gelo,
,,River Nixie,River Nixie,Il fiume Nixie,
,,Dryad Protector,Dryad Protector,Protettore della Driade,
,,Twilight Hag,Twilight Hag,Strega del crepuscolo,
,,Cave Gnome,Cave Gnome,Gnomo delle caverne,
,,Forest Centaur,Forest Centaur,Centauro della foresta,
,,Radiant Unicorn,Radiant Unicorn,Unicorno radioso,
,,Poison Pooka,Poison Pooka,Pooka velenoso,
,,Winter Court Knight,Winter Court Knight,Cavaliere della Corte Invernale,
,,Summer Court Archon,Summer Court Archon,Arconte della Corte Estiva,
,,Fae Queen,Fae Queen,Regina delle fate,
,,Surveillance Drone,Surveillance Drone,Drone di sorveglianza,
,,Security Bot,Security Bot,Bot di sicurezza,
,,Flame Turret,Flame Turret,Torretta di fiamma,
,,Cryo Drone,Cryo Drone,Drone criogenico,
,,Holographic Decoy,Holographic Decoy,Richiamo olografico,
,,Assault Mech,Assault Mech,Mech d'assalto,
,,Toxic Sprayer,Toxic Sprayer,Spruzzatore tossico,
,,Photon Defender,Photon Defender,Difensore dei fotoni,
,,Neural Interface,Neural Interface,Interfaccia neurale,
,,Hydrokinetic Engine,Hydrokinetic Engine,Motore idrocinetico,
,,Seismic Tunneler,Seismic Tunneler,Gallerie sismiche,
,,Plasma Juggernaut,Plasma Juggernaut,Colosso del plasma,
,,Radiant Colossus,Radiant Colossus,Colosso Radiante,
,,Quantum Intellect,Quantum Intellect,Intelletto quantistico,
,,Swamp Rat,Swamp Rat,Ratto di palude,
,,Bog Leech,Bog Leech,Sanguisuga di palude,
,,Swamp Scorpion,Swamp Scorpion,Scorpione di palude,
,,Marsh Wraith,Marsh Wraith,Spettro della palude,
,,Bog Elemental,Bog Elemental,Elementale della palude,
,,Bog Behemoth,Bog Behemoth,Behemoth della palude,
,,Miasma Lantern,Miasma Lantern,Lanterna Miasma,
,,Fungal Snapjaw,Fungal Snapjaw,Snapjaw fungino,
,,Swamp Gas Elemental,Swamp Gas Elemental,Elementale del gas di palude,
,,Laughing Mire Idol,Laughing Mire Idol,Idolo di Laughing Mire,
,,Grave Monarch,Grave Monarch,Monarca della tomba,
,,Marrow Archmage,Marrow Archmage,Arcimago del midollo,
,,Ossuary Colossus,Ossuary Colossus,Colosso dell'Ossario,
,,Phylactery Guardian,Phylactery Guardian,Guardiano del Filatterio,
,,Eternal Lich-King,Eternal Lich-King,Re dei Lich Eterno,
,,Gale Sentinel,Gale Sentinel,Gale Sentinel,
,,Tempest Djinn,Tempest Djinn,Djinn della Tempesta,
,,Storm Roc,Storm Roc,Tempesta Roc,
,,Sky Serpent,Sky Serpent,Serpente del cielo,
,,Stratos Sovereign,Stratos Sovereign,Stratos Sovereign,
,,Reef Guppy,Reef Guppy,Guppy di barriera,
,,Sardine School,Sardine School,Scuola di Sardine,
,,Parrotfish Grazer,Parrotfish Grazer,Pesce pappagallo grazer,
,,Reef Shark,Reef Shark,Squalo di barriera,
,,Hammerhead Enforcer,Hammerhead Enforcer,Hammerhead Enforcer,
,,Abyssal Pixie,Abyssal Pixie,Pixie abissale,
,,Hellthorn Dryad,Hellthorn Dryad,Driade di Hellthorn,
,,Blight Sylph,Blight Sylph,Silfide della Rovina,
,,Inferno Pooka,Inferno Pooka,Inferno Pooka,
,,Nether Court Duchess,Nether Court Duchess,Duchessa della Corte Inferiore,
,,Flame-Touched Hellhound,Flame-Touched Hellhound,Segugio infernale toccato dalla fiamma,
,,Cindermaw Hound,Cindermaw Hound,Segugio di Cenerentola,
,,Infernal Warhound,Infernal Warhound,Segugio infernale,
,,Cerberus Sentinel,Cerberus Sentinel,Cerbero Sentinella,
,,Brimstone Behemutt,Brimstone Behemutt,Behemutt di zolfo,
,,Rubber Reality Blob,Rubber Reality Blob,Blob di realtà di gomma,
,,Wandering Eyeball,Wandering Eyeball,Occhio vagante,
,,Inside-Out Critter,Inside-Out Critter,Inside-Out Critter,
,,Squeaky Turnip Fiend,Squeaky Turnip Fiend,Demone della rapa squittente,
,,Pocket-Dimension Imp,Pocket-Dimension Imp,Imp tascabile-dimensionale,
,,Fluxling,Fluxling,Fluxling,
,,Gloomwurm,Gloomwurm,Worm nero,
,,Shardmaw,Shardmaw,Fauci di Scheggia,
,,Spineshade,Spineshade,Spineshade,
,,Velocicorn,Velocicorn,Velocicorno,
,,Savage Berserker,Savage Berserker,Berserker selvaggio,
,,Bloodaxe Raider,Bloodaxe Raider,Predone dell'ascia sanguinaria,
,,Furyhowl Barbarian,Furyhowl Barbarian,Barbaro Urlo Furioso,
,,Skullcrusher Brute,Skullcrusher Brute,Bruto schiacciacranio,
,,Warborn Chieftain,Warborn Chieftain,Capo nato dalla guerra,
,,Trashling,Trashling,Spazzatura,
,,Junkrat,Junkrat,Junkrat,
,,Rubbler,Rubbler,Rubbler,
,,Filth Fiend,Filth Fiend,Demonio della sporcizia,
,,Landfill Leviathan,Landfill Leviathan,Discarica Leviatano,
,,Rotvulture,Rotvulture,Avvoltoio marciume,
,,Scrapforged,Scrapforged,Forgiato a scarto,
,,Dumpster Ooze,Dumpster Ooze,Fango del cassonetto,
,,Plague Heap,Plague Heap,Cumulo di peste,
,,Chicchan Serpent Shaman,Chicchan Serpent Shaman,Sciamano serpente Chicchan,
,,Obsidian Visionary,Obsidian Visionary,Visionario di ossidiana,
,,Dream Serpent High Priest,Dream Serpent High Priest,Sommo Sacerdote Serpente dei Sogni,
,,Glyph Weaver of Xibalba,Glyph Weaver of Xibalba,Tessitore di glifi di Xibalba,
,,Tomekeeper of the Sunstone,Tomekeeper of the Sunstone,Custode della Pietra del Sole,
,,Quetzalcoatl Channeler,Quetzalcoatl Channeler,Canalizzatore di Quetzalcoatl,
,,Whispering Wraith,Whispering Wraith,Spettro sussurrante,
,,Veiled Phantasm,Veiled Phantasm,Fantasma velato,
,,Somnolent Apparition,Somnolent Apparition,Aspetto assonnato,
,,Baby Bunny,Baby Bunny,Coniglietto,
,,Wild Rabbit,Wild Rabbit,Coniglio selvatico,
,,Dire Rabbit,Dire Rabbit,Coniglio feroce,
,,Rabid Jackrabbit,Rabid Jackrabbit,Lepre rabbiosa,
,,Totemic Sprout,Totemic Sprout,Germoglio totemico,
,,Totem Initiate,Totem Initiate,Iniziato del Totem,
,,Totem Guardian,Totem Guardian,Guardiano del Totem,
,,Ritual Sentinel,Ritual Sentinel,Sentinella rituale,
,,Totem Adept,Totem Adept,Adepto del Totem,
,,Totemic Protector,Totemic Protector,Protettore totemico,
,,Totemic Titan,Totemic Titan,Titano totemico,
,,Totemic Overlord,Totemic Overlord,Signore Totemico,
,,Fire Dragonling,Fire Dragonling,Drago di fuoco,
,,Ice Dragonling,Ice Dragonling,Drago di ghiaccio,
,,Storm Dragonling,Storm Dragonling,Drago della Tempesta,
,,Thunder Dragonling,Thunder Dragonling,Piccolo Drago del Tuono,
,,Cultist of Cthulhu,Cultist of Cthulhu,Cultista di Cthulhu,
,,Cultist of Nyarlathotep,Cultist of Nyarlathotep,Cultista di Nyarlathotep,
,,Cultist of Yog-Sothoth,Cultist of Yog-Sothoth,Cultista di Yog-Sothoth,
,,Cultist of Shub-Niggurath,Cultist of Shub-Niggurath,Cultista di Shub-Niggurath,
,,Gnome Peasant,Gnome Peasant,Gnomo Contadino,
,,Gnome Scout,Gnome Scout,Gnomo Esploratore,
,,Gnome Tinkerer,Gnome Tinkerer,Gnomo Tinkerer,
,,Gnome Trickster,Gnome Trickster,Gnomo imbroglione,
,,Gnome Miner,Gnome Miner,Gnomo Minatore,
,,Gnome Herbalist,Gnome Herbalist,Gnomo Erborista,
,,Gnome Engineer,Gnome Engineer,Ingegnere Gnomo,
,,Gnome Bombardier,Gnome Bombardier,Gnomo Bombardiere,
,,Gnome Alchemist,Gnome Alchemist,Gnomo Alchimista,
,,Gnome Warlock,Gnome Warlock,Stregone gnomo,
,,Gnome Shaman,Gnome Shaman,Sciamano gnomo,
,,Gnome Artificer,Gnome Artificer,Gnomo Artificiere,
,,Feral Alley Cat,Feral Alley Cat,Gatto randagio selvatico,
,,Catfish,Catfish,Pesce gatto,
,,Catican,Catican,Caticano,
,,Catizard,Catizard,Catizard,
,,Saberclaw Rex,Saberclaw Rex,Saberclaw Rex,
,,Umbra Panthera,Umbra Panthera,Panthera Umbra,
,,Emberclaw Bear,Emberclaw Bear,Orso Emberclaw,
,,Thundermaw Ursine,Thundermaw Ursine,Orso Fauci di Tuono,
,,Frostfang Bear,Frostfang Bear,Orso Zanna Gelida,
,,Void Howler,Void Howler,Urlatore del Vuoto,
,,Phantasmagoria Chloroblade,Phantasmagoria Chloroblade,Phantasmagoria Chloroblade,
,,Xylomantiflorous Dangervine,Xylomantiflorous Dangervine,Vite pericolosa xilomantiflora,
,,Nepenthe Mycoastrum,Nepenthe Mycoastrum,Nepenthe Mycoastrum,
,,Tenebris Sapscream,Tenebris Sapscream,Urlo di Linfa Oscura,
,,Eldergloom Sporemantle,Eldergloom Sporemantle,Sporemantle di Eldergloom,
,,Creeping Luminspore,Creeping Luminspore,Luminspore striscianti,
,,Crystalline Shardbeast,Crystalline Shardbeast,Bestia Scheggia Cristallina,
,,Obsidian Burrower,Obsidian Burrower,Scavatore di ossidiana,
,,Geode Hydra,Geode Hydra,Geode Hydra,
,,Petrified Enforcer,Petrified Enforcer,Esecutore pietrificato,
,,Quake-Maw Titan,Quake-Maw Titan,Titano delle Fauci Terremotiche,
,,Steamshield Sentry,Steamshield Sentry,Sentinella dello scudo di vapore,
,,Aegis Gearkeeper,Aegis Gearkeeper,Custode dell'ingranaggio Aegis,
,,Cogwork Bulwark,Cogwork Bulwark,Baluardo di ingranaggi,
,,Iron Bastion Automaton,Iron Bastion Automaton,Automa del Bastione di Ferro,
,,Brass Sentinel Mk. IV,Brass Sentinel Mk. IV,Sentinel Mk. IV in ottone,
,,Novice Boxer,Novice Boxer,Boxer principiante,
,,Amateur Pugilist,Amateur Pugilist,pugile dilettante,
,,Street Brawler,Street Brawler,Combattente di strada,
,,Professional Boxer,Professional Boxer,pugile professionista,
,,Champion Contender,Champion Contender,Contendente al titolo di campione,
,,Elite Boxing Champion,Elite Boxing Champion,Campione di pugilato d'élite,
,,Data Drone,Data Drone,Drone dati,
,,Security Sentinel,Security Sentinel,Sentinella della sicurezza,
,,Network Overlord,Network Overlord,Signore della rete,
,,Cognitive Tyrant,Cognitive Tyrant,Tiranno cognitivo,
,,Singularity Prime,Singularity Prime,Singolarità Prima,
,,Sandstrider Varanus,Sandstrider Varanus,Varano strider delle sabbie,
,,Marshjaw Heloderma,Marshjaw Heloderma,Heloderma delle paludi,
,,Crystalback Sceloporus,Crystalback Sceloporus,Sceloporo dal dorso cristallino,
,,Mossscale Amphibolurus,Mossscale Amphibolurus,Amphibolurus squamoso,
,,Spinescale Pogona,Spinescale Pogona,Pogona a squame spinali,
,,Cinderthroat Varanus,Cinderthroat Varanus,Varano golacenere,
,,Murkwallow Ghoul,Murkwallow Ghoul,Ghoul Murkwallow,
,,Gravebound Revenant,Gravebound Revenant,Revenant legato alla tomba,
,,Corpsecarver Knight,Corpsecarver Knight,Cavaliere intagliatore di cadaveri,
,,Cryptborn Shrieker,Cryptborn Shrieker,Strillatore Criptato,
,,Bonechewer Devourer,Bonechewer Devourer,Divoratore Masticaossa,
,,Dominant Taskmaster,Dominant Taskmaster,Taskmaster dominante,
,,Pain Enthusiast,Pain Enthusiast,Appassionato del dolore,
,,Chainbound Fury,Chainbound Fury,Furia incatenata,
,,Silken Enchantress,Silken Enchantress,Incantatrice di seta,
,,Blinding Sadist,Blinding Sadist,Sadico accecante,
,,Goblin Mosh Lord,Goblin Mosh Lord,Signore del Mosh Goblin,
,,Goblin Shrieker,Goblin Shrieker,Goblin Shrieker,
,,Goblin Headbanger,Goblin Headbanger,Goblin Headbanger,
,,Goblin Riot Caster,Goblin Riot Caster,Goblin Riot Caster,
,,Goblin Metal Warlord,Goblin Metal Warlord,Signore della guerra di metallo goblin,
,,Shellbreaker Bulwark,Shellbreaker Bulwark,Baluardo di Shellbreaker,
,,Coralic Warcaster,Coralic Warcaster,Guerriero Coralico,
,,Acidic Tidecaller,Acidic Tidecaller,Chiamatore di maree acido,
,,Gilded Zapback,Gilded Zapback,Zapback dorato,
,,CrystalCarapace Sentinel,CrystalCarapace Sentinel,Sentinella CrystalCarapace,
,,Tempest Wyvern,Tempest Wyvern,Wyvern della Tempesta,
,,Infernal Pyromancer,Infernal Pyromancer,Piromante infernale,
,,Crystal Automaton,Crystal Automaton,Automa di cristallo,
,,Obsidian Wraith,Obsidian Wraith,Spettro di ossidiana,
,,Earthen Colossus,Earthen Colossus,Colosso di Metallo,
,,Chrono Consumer,Chrono Consumer,Consumatore cronologico,
,,Inferno Archivist,Inferno Archivist,Archivista dell'Inferno,
,,Mechanized Harbinger,Mechanized Harbinger,Araldo meccanizzato,
,,Abyssal Siren,Abyssal Siren,Sirene abissali,
,,Ember Warder,Ember Warder,Guardiano della Brace,
,,Ember Caster,Ember Caster,Lanciatore di braci,
,,Storm Caller,Storm Caller,Chiamante di tempesta,
,,Tide Sorcerer,Tide Sorcerer,Stregone delle maree,
,,Arcane Archmage,Arcane Archmage,Arcimago Arcano,
,,Halo Acolyte,Halo Acolyte,Accolito di Halo,
,,Luminous Deacon,Luminous Deacon,Diacono luminoso,
,,Seraphic Emissary,Seraphic Emissary,Emissario Serafico,
,,Radiant Archpriest,Radiant Archpriest,Arciprete Radiante,
,,Prismatic Polychromus,Prismatic Polychromus,Policromo prismatico,
,,Easel Entropy,Easel Entropy,Entropia del cavalletto,
,,Chromatic Manticore,Chromatic Manticore,Manticora cromatica,
,,Palette Phantom,Palette Phantom,Palette fantasma,
,,Sculptor's Sorrow,Sculptor's Sorrow,Il dolore dello scultore,
,,Luminescent Mycelian,Luminescent Mycelian,Micelico luminescente,
,,Aether Splicer,Aether Splicer,Giuntatore di etere,
,,Gloomscale Basilisk,Gloomscale Basilisk,Basilisco squamoso,
,,Cinderheart Scion,Cinderheart Scion,Cinderheart Scion,
,,Echo Wisp,Echo Wisp,Echo Wisp,
,,Arctic Wolf,Arctic Wolf,Lupo artico,
,,Scavenging Coyote,Scavenging Coyote,Coyote spazzino,
,,Mad Boar,Mad Boar,Cinghiale Pazzo,
,,Kodiak Bear,Kodiak Bear,Orso Kodiak,
,,Rummaging Opossum,Rummaging Opossum,Opossum rovistatore,
,,Rhinobeetle,Rhinobeetle,Scarabeo rinoceronte,
,,Spikey Porcupine,Spikey Porcupine,Porcospino spinoso,
,,Stomping Elephant,Stomping Elephant,Elefante che calpesta,
